id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline,coordinates
urn:oid:2.49.0.1.840.0.03a9cdac1d1a1436f84d2c2a64d4fe8308710465.001.1,Buchanan; Delaware; Dubuque; Benton; Linn; Jones; Jackson; Iowa; Johnson; Cedar; Clinton; Muscatine; Scott; Keokuk; Washington; Louisa; Jefferson; Henry; Des Moines; Van Buren; Rock Island,"019019,019055,019061,019011,019113,019105,019097,019095,019103,019031,019045,019139,019163,019107,019183,019115,019101,019087,019057,019177,017161","IAZ040,IAZ041,IAZ042,IAZ051,IAZ052,IAZ053,IAZ054,IAZ063,IAZ064,IAZ065,IAZ066,IAZ067,IAZ068,IAZ076,IAZ077,IAZ078,IAZ087,IAZ088,IAZ089,IAZ098,ILZ015","https://api.weather.gov/zones/forecast/IAZ040,https://api.weather.gov/zones/forecast/IAZ041,https://api.weather.gov/zones/forecast/IAZ042,https://api.weather.gov/zones/forecast/IAZ051,https://api.weather.gov/zones/forecast/IAZ052,https://api.weather.gov/zones/forecast/IAZ053,https://api.weather.gov/zones/forecast/IAZ054,https://api.weather.gov/zones/forecast/IAZ063,https://api.weather.gov/zones/forecast/IAZ064,https://api.weather.gov/zones/forecast/IAZ065,https://api.weather.gov/zones/forecast/IAZ066,https://api.weather.gov/zones/forecast/IAZ067,https://api.weather.gov/zones/forecast/IAZ068,https://api.weather.gov/zones/forecast/IAZ076,https://api.weather.gov/zones/forecast/IAZ077,https://api.weather.gov/zones/forecast/IAZ078,https://api.weather.gov/zones/forecast/IAZ087,https://api.weather.gov/zones/forecast/IAZ088,https://api.weather.gov/zones/forecast/IAZ089,https://api.weather.gov/zones/forecast/IAZ098,https://api.weather.gov/zones/forecast/ILZ015",2024-10-14T07:07:00-05:00,2024-10-14T07:07:00-05:00,2024-10-15T01:00:00-05:00,2024-10-14T15:15:00-05:00,2024-10-15T08:00:00-05:00,Actual,Update,Met,Minor,Likely,Expected,Frost Advisory,Frost Advisory issued October 14 at 7:07AM CDT until October 15 at 8:00AM CDT by NWS Quad Cities IA IL,[]
urn:oid:2.49.0.1.840.0.03a9cdac1d1a1436f84d2c2a64d4fe8308710465.002.1,Lee; Jo Daviess; Stephenson; Carroll; Whiteside; Henry; Bureau; Putnam; Mercer; Henderson; Warren; Hancock; McDonough; Scotland; Clark,"019111,017085,017177,017015,017195,017073,017011,017155,017131,017071,017187,017067,017109,029199,029045","IAZ099,ILZ001,ILZ002,ILZ007,ILZ009,ILZ016,ILZ017,ILZ018,ILZ024,ILZ025,ILZ026,ILZ034,ILZ035,MOZ009,MOZ010","https://api.weather.gov/zones/forecast/IAZ099,https://api.weather.gov/zones/forecast/ILZ001,https://api.weather.gov/zones/forecast/ILZ002,https://api.weather.gov/zones/forecast/ILZ007,https://api.weather.gov/zones/forecast/ILZ009,https://api.weather.gov/zones/forecast/ILZ016,https://api.weather.gov/zones/forecast/ILZ017,https://api.weather.gov/zones/forecast/ILZ018,https://api.weather.gov/zones/forecast/ILZ024,https://api.weather.gov/zones/forecast/ILZ025,https://api.weather.gov/zones/forecast/ILZ026,https://api.weather.gov/zones/forecast/ILZ034,https://api.weather.gov/zones/forecast/ILZ035,https://api.weather.gov/zones/forecast/MOZ009,https://api.weather.gov/zones/forecast/MOZ010",2024-10-14T07:07:00-05:00,2024-10-14T07:07:00-05:00,2024-10-16T01:00:00-05:00,2024-10-14T15:15:00-05:00,2024-10-16T09:00:00-05:00,Actual,Update,Met,Severe,Possible,Future,Freeze Watch,Freeze Watch issued October 14 at 7:07AM CDT until October 16 at 9:00AM CDT by NWS Quad Cities IA IL,[]
urn:oid:2.49.0.1.840.0.03a9cdac1d1a1436f84d2c2a64d4fe8308710465.001.2,Buchanan; Delaware; Dubuque; Benton; Linn; Jones; Jackson; Iowa; Johnson; Cedar; Clinton; Muscatine; Scott; Keokuk; Washington; Louisa; Jefferson; Henry; Des Moines; Van Buren; Rock Island,"019019,019055,019061,019011,019113,019105,019097,019095,019103,019031,019045,019139,019163,019107,019183,019115,019101,019087,019057,019177,017161","IAZ040,IAZ041,IAZ042,IAZ051,IAZ052,IAZ053,IAZ054,IAZ063,IAZ064,IAZ065,IAZ066,IAZ067,IAZ068,IAZ076,IAZ077,IAZ078,IAZ087,IAZ088,IAZ089,IAZ098,ILZ015","https://api.weather.gov/zones/forecast/IAZ040,https://api.weather.gov/zones/forecast/IAZ041,https://api.weather.gov/zones/forecast/IAZ042,https://api.weather.gov/zones/forecast/IAZ051,https://api.weather.gov/zones/forecast/IAZ052,https://api.weather.gov/zones/forecast/IAZ053,https://api.weather.gov/zones/forecast/IAZ054,https://api.weather.gov/zones/forecast/IAZ063,https://api.weather.gov/zones/forecast/IAZ064,https://api.weather.gov/zones/forecast/IAZ065,https://api.weather.gov/zones/forecast/IAZ066,https://api.weather.gov/zones/forecast/IAZ067,https://api.weather.gov/zones/forecast/IAZ068,https://api.weather.gov/zones/forecast/IAZ076,https://api.weather.gov/zones/forecast/IAZ077,https://api.weather.gov/zones/forecast/IAZ078,https://api.weather.gov/zones/forecast/IAZ087,https://api.weather.gov/zones/forecast/IAZ088,https://api.weather.gov/zones/forecast/IAZ089,https://api.weather.gov/zones/forecast/IAZ098,https://api.weather.gov/zones/forecast/ILZ015",2024-10-14T07:07:00-05:00,2024-10-14T07:07:00-05:00,2024-10-16T01:00:00-05:00,2024-10-14T15:15:00-05:00,2024-10-16T09:00:00-05:00,Actual,Update,Met,Severe,Possible,Future,Freeze Watch,Freeze Watch issued October 14 at 7:07AM CDT until October 16 at 9:00AM CDT by NWS Quad Cities IA IL,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.006.1,Cape Edgecumbe to Cape Spencer out to 15 NM,058643,PKZ643,https://api.weather.gov/zones/forecast/PKZ643,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.011.1,Cape Fairweather to Icy Cape from 15 to 80 NM,058671,PKZ671,https://api.weather.gov/zones/forecast/PKZ671,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.007.1,Cape Edgecumbe to Cape Spencer from 15 to 80 NM,058663,PKZ663,https://api.weather.gov/zones/forecast/PKZ663,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.008.1,Cape Spencer to Cape Fairweather out to 15 NM,058644,PKZ644,https://api.weather.gov/zones/forecast/PKZ644,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.010.1,Cape Fairweather to Icy Cape out to 15 NM,058651,PKZ651,https://api.weather.gov/zones/forecast/PKZ651,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.013.1,Icy Cape to Cape Suckling from 15 to 80 NM,058672,PKZ672,https://api.weather.gov/zones/forecast/PKZ672,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.005.1,Cape Decision to Cape Edgecumbe from 15 to 80 NM,058662,PKZ662,https://api.weather.gov/zones/forecast/PKZ662,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.004.1,Cape Decision to Cape Edgecumbe out to 15 NM,058642,PKZ642,https://api.weather.gov/zones/forecast/PKZ642,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.002.1,Dixon Entrance to Cape Decision out to 15 NM,058641,PKZ641,https://api.weather.gov/zones/forecast/PKZ641,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.009.1,Cape Spencer to Cape Fairweather from 15 to 85 NM,058664,PKZ664,https://api.weather.gov/zones/forecast/PKZ664,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.012.1,Icy Cape to Cape Suckling out to 15 NM,058652,PKZ652,https://api.weather.gov/zones/forecast/PKZ652,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.967c945a9a427926b77ac7b7511bdfbef32fc049.003.1,Dixon Entrance to Cape Decision from 15 to 90 NM,058661,PKZ661,https://api.weather.gov/zones/forecast/PKZ661,2024-10-14T03:59:00-08:00,2024-10-14T03:59:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T22:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:59AM AKDT until October 15 at 5:00AM AKDT by NWS Juneau AK,[]
urn:oid:2.49.0.1.840.0.50eba6783a750760bcb8c0db6c258591561300ae.001.2,Sheboygan to Port Washington WI; Port Washington to North Point Light WI; North Point Light to Wind Point WI; Wind Point WI to Winthrop Harbor IL,"092643,092644,092645,092646","LMZ643,LMZ644,LMZ645,LMZ646","https://api.weather.gov/zones/forecast/LMZ643,https://api.weather.gov/zones/forecast/LMZ644,https://api.weather.gov/zones/forecast/LMZ645,https://api.weather.gov/zones/forecast/LMZ646",2024-10-14T06:53:00-05:00,2024-10-14T06:53:00-05:00,2024-10-14T07:00:00-05:00,2024-10-14T15:00:00-05:00,2024-10-14T16:00:00-05:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 6:53AM CDT until October 14 at 4:00PM CDT by NWS Milwaukee/Sullivan WI,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.011.1,Nelson Lagoon to Cape Sarichef from 15 to 70 NM,058759,PKZ759,https://api.weather.gov/zones/forecast/PKZ759,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00AM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.028.1,Kiska to Attu Pacific Side,058787,PKZ787,https://api.weather.gov/zones/forecast/PKZ787,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.003.1,Sitkinak to Castle Cape from 15 to 100 NM,058751,PKZ751,https://api.weather.gov/zones/forecast/PKZ751,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00AM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.007.1,Cape Tolstoi to Cape Sarichef from 15 to 100 NM,058755,PKZ755,https://api.weather.gov/zones/forecast/PKZ755,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00AM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.009.1,Port Heiden to Nelson Lagoon from 15 to 60 NM,058757,PKZ757,https://api.weather.gov/zones/forecast/PKZ757,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T05:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00AM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.022.1,Seguam to Adak Bering Side from 15 to 85 NM,058781,PKZ781,https://api.weather.gov/zones/forecast/PKZ781,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.018.1,Nikolski to Seguam Bering Side from 15 to 85 NM,058776,PKZ776,https://api.weather.gov/zones/forecast/PKZ776,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T05:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-14T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 14 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.010.1,Nelson Lagoon to Cape Sarichef out to 15 NM,058758,PKZ758,https://api.weather.gov/zones/forecast/PKZ758,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T05:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-14T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 14 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.024.1,Seguam to Adak Pacific Side from 15 to 75 NM,058783,PKZ783,https://api.weather.gov/zones/forecast/PKZ783,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.008.1,Port Heiden to Nelson Lagoon out to 15 NM,058756,PKZ756,https://api.weather.gov/zones/forecast/PKZ756,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T05:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-14T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 14 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.029.1,Pribilof Islands Nearshore Waters,058766,PKZ766,https://api.weather.gov/zones/forecast/PKZ766,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T05:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-14T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 14 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.002.1,Sitkinak to Castle Cape out to 15 NM,058750,PKZ750,https://api.weather.gov/zones/forecast/PKZ750,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.020.1,Nikolski to Seguam Pacific Side from 15 to 75 NM,058778,PKZ778,https://api.weather.gov/zones/forecast/PKZ778,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T05:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-14T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 14 at 5:00PM AKDT by NWS Anchorage AK,[]
urn:oid:2.49.0.1.840.0.b8b5b74690642d0755a06a3387cbb420d79a0ac4.025.1,Adak to Kiska Bering Side,058784,PKZ784,https://api.weather.gov/zones/forecast/PKZ784,2024-10-14T03:46:00-08:00,2024-10-14T03:46:00-08:00,2024-10-14T03:00:00-08:00,2024-10-14T17:00:00-08:00,2024-10-15T17:00:00-08:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 3:46AM AKDT until October 15 at 5:00PM AKDT by NWS Anchorage AK,[]
