id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline,coordinates
AS-TN-8637812c-2068-461f-87d1-a8106c2e00b4,Southern End of County,047179,,,2024-10-14T07:06:09-06:00,2024-10-14T07:06:09-06:00,,2024-10-14T12:06:09-06:00,,Actual,Alert,Safety,Extreme,Observed,Immediate,Local Area Emergency Warning,Arnold Road reduced to one lane all day,"[[-82.1825999, 36.306], [-82.2002, 36.2741], [-82.7286, 36.052299999999995], [-82.7924, 36.29709999999999], [-82.1825999, 36.306]]"
urn:oid:2.49.0.1.840.0-KEEPALIVE-14651,Montgomery,024031,MDC031,https://api.weather.gov/zones/county/MDC031,2024-10-14T13:05:07+00:00,2024-10-14T13:05:07+00:00,,2024-10-14T13:15:07+00:00,,Test,Alert,Met,Unknown,Unknown,Unknown,Test Message,,[]
urn:oid:2.49.0.1.840.0.1f04d22ab413f70680c59c10049205c218b5ae18.001.1,Chesapeake Bay from Sandy Point to North Beach MD; Chesapeake Bay from North Beach to Drum Point MD; Tidal Potomac from Indian Head to Cobb Island MD; Chester River to Queenstown MD; Eastern Bay; Choptank River to Cambridge MD and the Little Choptank River; Patuxent River to Broomes Island MD,"073532,073533,073536,073539,073540,073541,073542","ANZ532,ANZ533,ANZ536,ANZ539,ANZ540,ANZ541,ANZ542","https://api.weather.gov/zones/forecast/ANZ532,https://api.weather.gov/zones/forecast/ANZ533,https://api.weather.gov/zones/forecast/ANZ536,https://api.weather.gov/zones/forecast/ANZ539,https://api.weather.gov/zones/forecast/ANZ540,https://api.weather.gov/zones/forecast/ANZ541,https://api.weather.gov/zones/forecast/ANZ542",2024-10-14T09:04:00-04:00,2024-10-14T09:04:00-04:00,2024-10-14T09:04:00-04:00,2024-10-14T12:00:00-04:00,,Actual,Alert,Met,Minor,Observed,Expected,Marine Weather Statement,Marine Weather Statement issued October 14 at 9:04AM EDT by NWS Baltimore MD/Washington DC,[]
urn:oid:2.49.0.1.840.0.1f04d22ab413f70680c59c10049205c218b5ae18.002.1,Chesapeake Bay from Drum Point MD to Smith Point VA; Tidal Potomac from Cobb Island MD to Smith Point VA; Tangier Sound and the inland waters surrounding Bloodsworth Island,"073534,073537,073543","ANZ534,ANZ537,ANZ543","https://api.weather.gov/zones/forecast/ANZ534,https://api.weather.gov/zones/forecast/ANZ537,https://api.weather.gov/zones/forecast/ANZ543",2024-10-14T09:04:00-04:00,2024-10-14T09:04:00-04:00,2024-10-14T09:04:00-04:00,2024-10-14T12:00:00-04:00,,Actual,Alert,Met,Minor,Observed,Expected,Marine Weather Statement,Marine Weather Statement issued October 14 at 9:04AM EDT by NWS Baltimore MD/Washington DC,[]
OnSolve-32aef2bf46124ed4a79fa60ee86788ea,WY Sheridan County Emergency Management,056033,,,2024-10-14T09:00:45-04:00,2024-10-14T09:00:45-04:00,,2024-10-14T15:00:45-04:00,,Actual,Alert,Fire,Severe,Observed,Immediate,Evacuation Immediate,Evacuation Immediate,"[[-107.1504, 44.6028], [-107.153, 44.6191], [-107.0942, 44.6191], [-107.0946, 44.6315], [-107.1148, 44.6313], [-107.1138, 44.645700000000005], [-107.08749999999999, 44.6634], [-107.07019999999999, 44.6464], [-107.05339999999998, 44.6415], [-107.05819999999999, 44.621], [-107.06209999999999, 44.6027], [-107.1504, 44.6028]]"
urn:oid:2.49.0.1.840.0.6b811a07de55356a10c361645b979ff8d7232409.001.1,"Long, GA; Wayne, GA","013183,013305","GAC183,GAC305","https://api.weather.gov/zones/county/GAC183,https://api.weather.gov/zones/county/GAC305",2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-15T08:30:00-04:00,2024-10-15T14:00:00-04:00,Actual,Update,Met,Severe,Observed,Immediate,Flood Warning,Flood Warning issued October 14 at 8:22AM EDT until October 15 at 2:00PM EDT by NWS Jacksonville FL,"[[-81.95, 31.83], [-81.62, 31.549999999999997], [-81.72, 31.519999999999996], [-81.99, 31.759999999999994], [-81.95, 31.83]]"
urn:oid:2.49.0.1.840.0.e008a67e08346f1295ae530a5c4698ecf3a5e6c3.001.1,"Brantley, GA",013025,GAC025,https://api.weather.gov/zones/county/GAC025,2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-15T08:30:00-04:00,2024-10-15T14:00:00-04:00,Actual,Update,Met,Severe,Observed,Immediate,Flood Warning,Flood Warning issued October 14 at 8:22AM EDT until October 15 at 2:00PM EDT by NWS Jacksonville FL,"[[-81.84, 31.29], [-81.83, 31.14], [-81.89999999999999, 31.14], [-81.91, 31.28], [-81.84, 31.29]]"
urn:oid:2.49.0.1.840.0.1c3a20d83678c83b411fcc601626c30655a87db0.002.1,Harbor Beach to Port Sanilac MI; Port Sanilac to Port Huron MI,"093442,093443","LHZ442,LHZ443","https://api.weather.gov/zones/forecast/LHZ442,https://api.weather.gov/zones/forecast/LHZ443",2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T22:00:00-04:00,2024-10-16T16:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 8:09AM EDT until October 16 at 4:00PM EDT by NWS Detroit/Pontiac MI,[]
urn:oid:2.49.0.1.840.0.1c3a20d83678c83b411fcc601626c30655a87db0.003.1,Lake St. Clair Open Lake (U.S. Portion); Michigan Waters of Lake Erie from Detroit River to North Cape MI,"094460,096444","LCZ460,LEZ444","https://api.weather.gov/zones/forecast/LCZ460,https://api.weather.gov/zones/forecast/LEZ444",2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T16:00:00-04:00,2024-10-14T16:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 8:09AM EDT until October 14 at 4:00PM EDT by NWS Detroit/Pontiac MI,[]
urn:oid:2.49.0.1.840.0.1c3a20d83678c83b411fcc601626c30655a87db0.001.2,Outer Saginaw Bay SW of Alabaster to Port Austin MI to Inner Saginaw Bay; Inner Saginaw Bay SW of Point Au Gres to Bay Port MI; Port Austin to Harbor Beach MI,"093421,093422,093441","LHZ421,LHZ422,LHZ441","https://api.weather.gov/zones/forecast/LHZ421,https://api.weather.gov/zones/forecast/LHZ422,https://api.weather.gov/zones/forecast/LHZ441",2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T08:09:00-04:00,2024-10-14T22:00:00-04:00,2024-10-16T16:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 14 at 8:09AM EDT until October 16 at 4:00PM EDT by NWS Detroit/Pontiac MI,[]
