id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline
urn:oid:2.49.0.1.840.0.8751016d1a4554d10ddcd44c05e48fb9d4861456.002.1,S of Oregon Inlet NC to Cape Hatteras NC out to 20 nm; S of Cape Hatteras NC to Ocracoke Inlet NC out to 20 nm,"075152,075154","AMZ152,AMZ154","https://api.weather.gov/zones/forecast/AMZ152,https://api.weather.gov/zones/forecast/AMZ154",2024-10-12T14:14:00-04:00,2024-10-12T14:14:00-04:00,2024-10-13T17:00:00-04:00,2024-10-13T02:15:00-04:00,2024-10-14T21:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:14PM EDT until October 14 at 9:00PM EDT by NWS Newport/Morehead City NC
urn:oid:2.49.0.1.840.0.8751016d1a4554d10ddcd44c05e48fb9d4861456.003.1,S of Ocracoke Inlet NC to Cape Lookout NC out to 20 nm; S of Cape Lookout NC to Surf City NC out to 20 nm,"075156,075158","AMZ156,AMZ158","https://api.weather.gov/zones/forecast/AMZ156,https://api.weather.gov/zones/forecast/AMZ158",2024-10-12T14:14:00-04:00,2024-10-12T14:14:00-04:00,2024-10-13T19:00:00-04:00,2024-10-13T02:15:00-04:00,2024-10-14T21:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:14PM EDT until October 14 at 9:00PM EDT by NWS Newport/Morehead City NC
urn:oid:2.49.0.1.840.0.0589220cff216939bb520da66e47a8e667f4f06a.001.1,"Coastal Waters from Stonington, ME to Port Clyde, ME out 25 NM; Penobscot Bay; Coastal Waters from Port Clyde, ME to Cape Elizabeth, ME out 25 NM; Casco Bay; Coastal Waters from Cape Elizabeth, ME to Merrimack River, MA out 25 NM","073150,073151,073152,073153,073154","ANZ150,ANZ151,ANZ152,ANZ153,ANZ154","https://api.weather.gov/zones/forecast/ANZ150,https://api.weather.gov/zones/forecast/ANZ151,https://api.weather.gov/zones/forecast/ANZ152,https://api.weather.gov/zones/forecast/ANZ153,https://api.weather.gov/zones/forecast/ANZ154",2024-10-12T14:10:00-04:00,2024-10-12T14:10:00-04:00,2024-10-12T14:10:00-04:00,2024-10-12T20:00:00-04:00,2024-10-12T20:00:00-04:00,Actual,Update,Met,Moderate,Likely,Expected,Gale Warning,Gale Warning issued October 12 at 2:10PM EDT until October 12 at 8:00PM EDT by NWS Gray ME
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.001.2,Coastal Flagler,012035,FLZ138,https://api.weather.gov/zones/forecast/FLZ138,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T04:00:00-04:00,Actual,Update,Met,Moderate,Likely,Expected,Rip Current Statement,Rip Current Statement issued October 12 at 2:05PM EDT until October 13 at 4:00AM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.004.1,Trout River,012031,FLZ225,https://api.weather.gov/zones/forecast/FLZ225,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T04:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Coastal Flood Advisory,Coastal Flood Advisory issued October 12 at 2:05PM EDT until October 13 at 4:00AM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.005.1,Coastal Nassau; Coastal Glynn; Coastal Camden,"012089,013127,013039","FLZ124,GAZ154,GAZ166","https://api.weather.gov/zones/forecast/FLZ124,https://api.weather.gov/zones/forecast/GAZ154,https://api.weather.gov/zones/forecast/GAZ166",2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T04:00:00-04:00,Actual,Update,Met,Moderate,Likely,Expected,Rip Current Statement,Rip Current Statement issued October 12 at 2:05PM EDT until October 13 at 4:00AM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.003.1,Coastal Duval; Coastal St. Johns,"012031,012109","FLZ125,FLZ133","https://api.weather.gov/zones/forecast/FLZ125,https://api.weather.gov/zones/forecast/FLZ133",2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T04:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Coastal Flood Advisory,Coastal Flood Advisory issued October 12 at 2:05PM EDT until October 13 at 4:00AM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.002.1,Inland St. Johns; Inland Flagler; Eastern Clay; Eastern Putnam; South Central Duval,"012109,012035,012019,012107,012031","FLZ033,FLZ038,FLZ132,FLZ137,FLZ325","https://api.weather.gov/zones/forecast/FLZ033,https://api.weather.gov/zones/forecast/FLZ038,https://api.weather.gov/zones/forecast/FLZ132,https://api.weather.gov/zones/forecast/FLZ137,https://api.weather.gov/zones/forecast/FLZ325",2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T14:00:00-04:00,Actual,Update,Met,Severe,Likely,Expected,Coastal Flood Warning,Coastal Flood Warning issued October 12 at 2:05PM EDT until October 13 at 2:00PM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.001.1,Coastal Flagler,012035,FLZ138,https://api.weather.gov/zones/forecast/FLZ138,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T14:00:00-04:00,Actual,Update,Met,Severe,Likely,Expected,Coastal Flood Warning,Coastal Flood Warning issued October 12 at 2:05PM EDT until October 13 at 2:00PM EDT by NWS Jacksonville FL
urn:oid:2.49.0.1.840.0.3c5148aadabe967bad3fb62c33c3fa3c16db64e1.003.2,Coastal Duval; Coastal St. Johns,"012031,012109","FLZ125,FLZ133","https://api.weather.gov/zones/forecast/FLZ125,https://api.weather.gov/zones/forecast/FLZ133",2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-12T14:05:00-04:00,2024-10-13T04:00:00-04:00,2024-10-13T04:00:00-04:00,Actual,Update,Met,Moderate,Likely,Expected,Rip Current Statement,Rip Current Statement issued October 12 at 2:05PM EDT until October 13 at 4:00AM EDT by NWS Jacksonville FL
